Title,Longitude,Latitude
Dixie Dairy,-8424561.64,5686562.959699999541044
Shoppers Drug Mart,-8426138.603,5686633.508899999782443
MacEwen,-8419107.451,5686680.257100000046194
Farm Boy,-8419970.066,5686710.735399999655783
Chuck's Deli and Convenience,-8420914.745,5686740.944000000134110
Walmart Supercentre,-8421307.113,5686798.063199999742210
Thana Markets,-8426324.429,5686860.098500000312924
Quickie,-8426384.631,5686954.595800000242889
Circle K,-8425509.67,5687011.430999999865890
Circle K,-8416260.821,5687039.246600000187755
Your Independent Grocer,-8426495.015,5687099.475499999709427
180 Food Market,-8423619.12,5687156.406899999827147
Lees Market,-8423542.231,5687158.643000000156462
Bayscorner,-8427337.003,5687169.537499999627471
Quickie,-8425627.535,5687207.375599999912083
Royal Variety Convenience,-8426567.919,5687267.178000000305474
Quickie,-8427684.531,5687436.596300000324845
Zesty Market,-8425778.095,5687453.787399999797344
JJ's Market,-8426989.597,5687509.325400000438094
Slater Street Market,-8427246.422,5687515.097900000400841
Rexall,-8427230.67,5687523.407899999991059
Spot Plus,-8427198.711,5687533.589599999599159
Moe's,-8416647.712,5687591.602699999697506
Shoppers Drug Mart,-8426786.183,5687624.890300000086427
Seaway Gas and Fuel,-8416893.929,5687674.895200000144541
Farm Boy,-8426149.58,5687688.581100000068545
Rexall,-8426213.878,5687759.155199999921024
Petro-Canada,-8415371.467,5687799.470599999651313
Circle K,-8426244.146,5687809.905600000172853
Rexall,-8427180.732,5687925.506199999712408
Africa World Market,-8418163.261,5687968.058400000445545
Ceci Cela,-8426774.761,5688003.472799999639392
Real Canadian Wholesale Club,-8417745.545,5688008.040900000371039
Barwaaqo Food Centre,-8423802.764,5688083.962000000290573
Quickie,-8423763.557,5688102.867300000041723
J.T. Bradley's,-8396305.927,5688143.423100000247359
Shoppers Drug Mart,-8420121.16,5688355.362499999813735
Safi Fine Foods,-8424194.13,5688483.785500000230968
Quickie,-8424278.555,5688485.641200000420213
Silver City Food Market Two,-8421657.113,5688725.553500000387430
